0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
StrongUp,Neutral,Neutral,WeakUp,WeakUp,Dry,Neutral,VeryWet,VeryWet,Clear,PC,Clear,Clear,None,Strong,Other,None,Strong,Strong,None,LittleChange,LittleChange,Negative,Decreasing,SIG,Aug20_Sep15,E,CThruK,PartInhibit,LessThanAve,LessThanAve,CDEJ,N1GtLIGt_4,Neutral,MoreUnstable,MoreUnstable,ACEFK,None,Moderate,Moderate,E,XNIL,XNIL,SIG,LowNHighS,CloseToDryAd,Average,ModerateOrLe,NoMajor,Other,None,SigPositive,None,SWQuad,Westerly,LV
Down,WeakUp,StrongUp,WeakUp,WeakUp,VeryWet,Neutral,Neutral,Neutral,Clear,Clear,Clear,PC,Strong,Strong,Other,None,Strong,Strong,Some,LittleChange,LittleChange,WeakPos,Decreasing,XNIL,Jun15_Jul1,G,CThruK,PartInhibit,Average,Average,G,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,GJ,PartInhibit,Weak,None,G,SIG,SIG,SIG,LowEvrywhere,CloseToDryAd,Dry,CloseToDryAd,NoMajor,MoistMDryL,Other,NegToPos,None,LV,LVorOther,WidespdDnsl
WeakUp,StronUp,Down,Down,Down,Neutral,Neutral,Neutral,Neutral,Clear,Clear,Clear,Clear,None,None,DCVZFavor,None,Weak,None,None,LittleChange,LittleChange,Neutral,Decreasing,XNIL,Aug11_Aug20,K,CThruK,PartInhibit,Average,Average,K,N5GtLIGt_8,Instability,Average,LessUnstable,ACEFK,PartInhibit,Weak,None,K,XNIL,XNIL,XNIL,HighEvrywher,ModerateOrLe,Average,Steep,MarkedUpper,DryMMoistL,E_W_N,SigPositive,Other,AllElse,LVorOther,WidespdDnsl
StrongUp,Neutral,StrongUp,WeakUp,WeakUp,Neutral,Dry,Dry,Dry,Clear,PC,Clear,Clear,Weak,Weak,StrongWest,Strong,Weak,Weak,Marked,LittleChange,LittleChange,StrongPos,Increasing,SIG,May15_Jun14,A,AB,Stifling,Average,Average,ABI,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,ACEFK,PartInhibit,Strong,Moderate,A,SVR,SVR,SVR,LowSHighN,Steep,Average,ModerateOrLe,StrongFront,DryMMoistL,DenvCyclone,SigNegative,Moving,SWQuad,LVorOther,DenvCyclone
WeakUp,Down,Neutral,WeakUp,WeakUp,Dry,Neutral,Dry,Dry,PC,PC,Clear,Clear,Weak,Strong,DCVZFavor,Strong,Weak,Strong,Marked,LittleChange,LittleChange,Neutral,LittleChange,XNIL,Jul16_Aug10,E,CThruK,None,LessThanAve,LessThanAve,CDEJ,N5GtLIGt_8,Stability,Average,MoreUnstable,ACEFK,None,Unfavorable,None,E,XNIL,XNIL,XNIL,LowSHighN,CloseToDryAd,Dry,ModerateOrLe,NoMajor,Other,DryLine,LittleChange,Moving,LV,Westerly,LV
WeakUp,Neutral,Neutral,WeakUp,WeakUp,Dry,VeryWet,Wet,Wet,Clear,PC,PC,Cloudy,Strong,Strong,Other,Weak,None,Weak,None,IncCapDecIns,Increasing,StrongPos,Increasing,SIG,May15_Jun14,I,CThruK,PartInhibit,Average,MoreThanAve,ABI,LILt_8,Neutral,MoreUnstable,MoreUnstable,HI,None,Strong,Strong,I,XNIL,XNIL,SIG,LowSHighN,ModerateOrLe,Average,ModerateOrLe,NoMajor,DryMMoistL,E_W_S,SigNegative,QStationary,AllElse,Westerly,E_NE
StrongUp,StronUp,Down,StrongUp,StrongUp,Wet,Dry,Dry,Dry,Clear,PC,Clear,Clear,Strong,Strong,StrongWest,Strong,Weak,Strong,Marked,DecCapIncIns,Decreasing,Negative,LittleChange,SVR,Aug11_Aug20,K,CThruK,PartInhibit,Average,LessThanAve,K,N1GtLIGt_4,Stability,MoreUnstable,MoreUnstable,ACEFK,Stifling,Moderate,None,K,XNIL,XNIL,SVR,LowNHighS,ModerateOrLe,Average,Steep,MarkedUpper,Other,E_W_N,SigPositive,Other,AllElse,LVorOther,SEQuad
StrongUp,StronUp,Neutral,StrongUp,StrongUp,Wet,Neutral,Wet,VeryWet,Clear,PC,Clear,PC,None,None,StrongWest,None,None,None,None,LittleChange,LittleChange,Negative,Decreasing,XNIL,Jul16_Aug10,H,CThruK,None,Average,Average,H,LIGt0,Stability,LessUnstable,LessUnstable,HI,None,Strong,Strong,H,XNIL,XNIL,XNIL,HighEvrywher,ModerateOrLe,Average,ModerateOrLe,MarkedUpper,DryMMoistL,MovingFtorOt,PosToNeg,None,LV,LVorOther,E_NE
WeakUp,Neutral,Down,Neutral,Neutral,VeryWet,VeryWet,VeryWet,VeryWet,PC,PC,PC,Cloudy,Weak,Strong,Westerly,Strong,Strong,Strong,Marked,LittleChange,LittleChange,Neutral,LittleChange,SIG,Jul16_Aug10,B,AB,PartInhibit,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Instability,LessUnstable,LessUnstable,B,TotalInhibit,Strong,Slight,B,XNIL,XNIL,SIG,LowMtsHighPl,ModerateOrLe,VeryMoist,CloseToDryAd,NoMajor,DryMMoistL,DenvCyclone,PosToNeg,None,LV,LVorOther,DenvCyclone
Neutral,Neutral,Neutral,Neutral,Neutral,VeryWet,Neutral,Wet,Wet,PC,PC,PC,PC,Strong,Strong,DCVZFavor,Strong,Strong,Weak,Marked,LittleChange,LittleChange,Negative,Decreasing,SVR,Jul16_Aug10,J,CThruK,Stifling,MoreThanAve,MoreThanAve,CDEJ,N5GtLIGt_8,Instability,MoreUnstable,LessUnstable,GJ,PartInhibit,Weak,None,J,XNIL,XNIL,SVR,LowAtStation,ModerateOrLe,Average,ModerateOrLe,NoMajor,MoistMDryL,DryLine,LittleChange,None,LV,LVorOther,LV
Down,Down,WeakUp,Neutral,Neutral,Wet,Neutral,Wet,Wet,Clear,Cloudy,PC,PC,None,None,Other,None,None,None,None,LittleChange,LittleChange,WeakPos,LittleChange,XNIL,Jun15_Jul1,C,CThruK,PartInhibit,LessThanAve,LessThanAve,CDEJ,LIGt0,Stability,Average,MoreUnstable,ACEFK,None,Moderate,Strong,C,SIG,SIG,SIG,LowAtStation,Steep,Dry,ModerateOrLe,OtherRapid,Other,E_W_N,SigPositive,Other,SWQuad,Westerly,WidespdDnsl
Down,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Cloudy,PC,Cloudy,Cloudy,Weak,Strong,Westerly,Strong,Weak,Weak,Some,IncCapDecIns,Increasing,Negative,LittleChange,XNIL,May15_Jun14,K,CThruK,Stifling,Average,Average,K,N1GtLIGt_4,Instability,LessUnstable,LessUnstable,ACEFK,Stifling,Weak,None,K,XNIL,XNIL,XNIL,Other,Steep,Dry,ModerateOrLe,MarkedUpper,Other,DenvCyclone,SigNegative,Moving,AllElse,Westerly,WidespdDnsl
WeakUp,StronUp,Neutral,Neutral,Neutral,Wet,VeryWet,Wet,Wet,Clear,Cloudy,Clear,Clear,None,None,StrongWest,None,Weak,Strong,None,LittleChange,LittleChange,Negative,Decreasing,XNIL,Aug20_Sep15,K,CThruK,PartInhibit,Average,Average,K,N1GtLIGt_4,Neutral,Average,LessUnstable,ACEFK,Stifling,Moderate,Slight,K,XNIL,XNIL,XNIL,HighEvrywher,ModerateOrLe,Dry,ModerateOrLe,OtherRapid,DryMMoistL,MovingFtorOt,SigPositive,None,AllElse,Westerly,WidespdDnsl
StrongUp,StronUp,Neutral,StrongUp,StrongUp,Neutral,Wet,VeryWet,VeryWet,PC,Clear,Clear,Cloudy,Weak,Strong,StrongWest,Strong,None,Strong,Marked,LittleChange,LittleChange,WeakPos,Increasing,SVR,Jul2_Jul15,B,AB,PartInhibit,Average,Average,ABI,N5GtLIGt_8,Stability,LessUnstable,LessUnstable,B,PartInhibit,Weak,None,B,XNIL,XNIL,SVR,LowSHighN,ModerateOrLe,Average,Steep,OtherRapid,DryMMoistL,DenvCyclone,PosToNeg,None,AllElse,LVorOther,DenvCyclone
StrongUp,WeakUp,Down,Down,Down,Dry,Wet,VeryWet,Wet,Clear,PC,Clear,Clear,None,None,StrongWest,None,None,Weak,None,IncCapDecIns,Increasing,Neutral,Increasing,XNIL,May15_Jun14,A,AB,Stifling,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Instability,Average,MoreUnstable,ACEFK,PartInhibit,Moderate,Moderate,A,SIG,SIG,SIG,LowSHighN,ModerateOrLe,VeryMoist,Steep,MarkedUpper,Other,MovingFtorOt,PosToNeg,Moving,SWQuad,Westerly,E_NE
WeakUp,Down,WeakUp,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Clear,PC,PC,PC,Strong,Strong,DCVZFavor,Weak,None,Weak,Marked,LittleChange,LittleChange,Negative,LittleChange,SIG,Jun15_Jul1,E,CThruK,PartInhibit,Average,Average,CDEJ,N1GtLIGt_4,Instability,LessUnstable,LessUnstable,ACEFK,PartInhibit,Moderate,Slight,E,XNIL,XNIL,SIG,LowMtsHighPl,CloseToDryAd,Dry,Steep,NoMajor,MoistMDryL,MovingFtorOt,LittleChange,None,SWQuad,Westerly,LV
Neutral,StronUp,StrongUp,StrongUp,StrongUp,Neutral,VeryWet,Wet,Wet,PC,PC,PC,Cloudy,Weak,Strong,Westerly,Strong,Strong,Strong,Marked,LittleChange,LittleChange,Neutral,LittleChange,SIG,Aug20_Sep15,B,AB,PartInhibit,LessThanAve,LessThanAve,ABI,LILt_8,Instability,MoreUnstable,MoreUnstable,B,PartInhibit,Unfavorable,None,B,XNIL,XNIL,SIG,HighEvrywher,ModerateOrLe,Average,CloseToDryAd,NoMajor,Other,DenvCyclone,LittleChange,None,LV,LVorOther,DenvCyclone
Down,WeakUp,Neutral,Down,Down,Neutral,Dry,Neutral,Wet,PC,PC,PC,Clear,Strong,Strong,DCVZFavor,Strong,Weak,Strong,Some,IncCapDecIns,Increasing,Neutral,Decreasing,SVR,Jun15_Jul1,K,CThruK,PartInhibit,Average,MoreThanAve,K,N5GtLIGt_8,Stability,MoreUnstable,Average,ACEFK,PartInhibit,Moderate,None,K,XNIL,XNIL,SVR,LowNHighS,ModerateOrLe,Average,ModerateOrLe,MarkedUpper,DryMMoistL,MovingFtorOt,SigNegative,QStationary,AllElse,Westerly,WidespdDnsl
Neutral,Down,StrongUp,WeakUp,WeakUp,VeryWet,Dry,Neutral,Wet,PC,Clear,Clear,PC,None,None,DCVZFavor,None,Weak,None,None,DecCapIncIns,Decreasing,WeakPos,LittleChange,XNIL,May15_Jun14,B,AB,PartInhibit,Average,Average,ABI,N1GtLIGt_4,Neutral,MoreUnstable,MoreUnstable,B,None,Unfavorable,Slight,B,SIG,SIG,SIG,HighEvrywher,Stable,Dry,ModerateOrLe,NoMajor,MoistMDryL,DenvCyclone,LittleChange,Moving,NWQuad,LVorOther,SEQuad
WeakUp,StronUp,Neutral,Neutral,Neutral,Wet,Neutral,Wet,Wet,PC,Clear,PC,PC,None,Weak,Other,Weak,Weak,Weak,None,LittleChange,LittleChange,Negative,Decreasing,XNIL,May15_Jun14,A,AB,PartInhibit,LessThanAve,LessThanAve,ABI,LILt_8,Stability,LessUnstable,LessUnstable,ACEFK,None,Unfavorable,None,A,XNIL,XNIL,XNIL,LowNHighS,Steep,Dry,Steep,StrongFront,DryMMoistL,DenvCyclone,SigNegative,Other,SWQuad,Westerly,SEQuad
WeakUp,Neutral,Neutral,WeakUp,WeakUp,Neutral,Wet,Wet,Wet,PC,PC,PC,PC,None,None,Other,None,None,None,None,LittleChange,LittleChange,WeakPos,LittleChange,XNIL,May15_Jun14,H,CThruK,Stifling,Average,Average,H,N1GtLIGt_4,Neutral,Average,MoreUnstable,HI,PartInhibit,Moderate,Strong,H,SIG,SIG,SIG,HighEvrywher,Stable,Average,Steep,MarkedUpper,Other,E_W_S,SigPositive,Moving,SWQuad,Westerly,LV
Neutral,StronUp,Down,Neutral,Neutral,Wet,Dry,Dry,Dry,Cloudy,PC,Cloudy,PC,Strong,Strong,DCVZFavor,Strong,None,Weak,Marked,LittleChange,LittleChange,Neutral,LittleChange,SIG,Jun15_Jul1,D,CThruK,PartInhibit,Average,Average,CDEJ,LIGt0,Neutral,MoreUnstable,MoreUnstable,D,PartInhibit,Strong,Strong,D,SIG,SIG,SIG,LowSHighN,Steep,VeryMoist,CloseToDryAd,OtherRapid,DryMMoistL,DryLine,LittleChange,None,NWQuad,Westerly,LongAnticyc
WeakUp,Neutral,Neutral,Neutral,Neutral,VeryWet,Neutral,VeryWet,VeryWet,Cloudy,Clear,Clear,Clear,Weak,Strong,StrongWest,Strong,None,Strong,Marked,LittleChange,LittleChange,StrongPos,Increasing,SIG,Jul2_Jul15,F,CThruK,None,LessThanAve,LessThanAve,F,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,ACEFK,Stifling,Moderate,None,F,XNIL,SIG,SIG,HighEvrywher,ModerateOrLe,VeryMoist,ModerateOrLe,NoMajor,Other,None,LittleChange,Moving,LV,LVorOther,LV
WeakUp,StronUp,Down,Neutral,Neutral,VeryWet,Neutral,VeryWet,VeryWet,Cloudy,PC,Cloudy,Cloudy,Weak,Strong,DCVZFavor,Weak,None,None,Some,IncCapDecIns,Increasing,WeakPos,Increasing,SIG,Jul2_Jul15,E,CThruK,PartInhibit,LessThanAve,LessThanAve,CDEJ,N1GtLIGt_4,Stability,Average,MoreUnstable,ACEFK,PartInhibit,Moderate,None,E,XNIL,XNIL,SIG,LowAtStation,CloseToDryAd,Average,ModerateOrLe,NoMajor,MoistMDryL,DryLine,LittleChange,None,SWQuad,LVorOther,LongAnticyc
WeakUp,Neutral,Down,Neutral,Neutral,Dry,Wet,Neutral,Neutral,Cloudy,PC,Cloudy,Cloudy,Weak,Strong,Westerly,Weak,None,None,Marked,IncCapDecIns,Increasing,Neutral,Increasing,SVR,May15_Jun14,K,CThruK,None,LessThanAve,LessThanAve,K,N1GtLIGt_4,Neutral,LessUnstable,MoreUnstable,ACEFK,PartInhibit,Unfavorable,None,K,XNIL,XNIL,SVR,LowMtsHighPl,Stable,Average,Steep,MarkedUpper,Other,None,SigPositive,Moving,AllElse,LVorOther,WidespdDnsl
Down,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Wet,Wet,Clear,Clear,Clear,Clear,Weak,Strong,Other,None,Weak,Weak,Some,IncCapDecIns,Increasing,WeakPos,Increasing,XNIL,Aug11_Aug20,E,CThruK,Stifling,MoreThanAve,MoreThanAve,CDEJ,N1GtLIGt_4,Instability,Average,MoreUnstable,ACEFK,PartInhibit,Moderate,Moderate,E,XNIL,XNIL,XNIL,LowNHighS,CloseToDryAd,Average,Steep,NoMajor,MoistMDryL,None,LittleChange,None,NWQuad,LVorOther,WidespdDnsl
Down,Neutral,WeakUp,Neutral,Neutral,VeryWet,Dry,VeryWet,Wet,PC,PC,PC,PC,None,None,StrongWest,None,Weak,None,None,IncCapDecIns,Increasing,Negative,LittleChange,XNIL,Jul2_Jul15,E,CThruK,Stifling,MoreThanAve,MoreThanAve,CDEJ,N5GtLIGt_8,Neutral,LessUnstable,LessUnstable,ACEFK,Stifling,Weak,None,E,XNIL,XNIL,XNIL,LowEvrywhere,Steep,Average,ModerateOrLe,NoMajor,MoistMDryL,Other,PosToNeg,None,SWQuad,Westerly,LV
Neutral,WeakUp,Neutral,WeakUp,WeakUp,Dry,VeryWet,Neutral,Neutral,PC,Clear,Clear,Clear,None,None,DCVZFavor,None,Strong,Strong,None,IncCapDecIns,Increasing,WeakPos,Increasing,XNIL,Aug20_Sep15,F,CThruK,PartInhibit,LessThanAve,LessThanAve,F,N5GtLIGt_8,Stability,Average,Average,ACEFK,None,Weak,Slight,F,XNIL,SIG,SIG,HighEvrywher,Stable,VeryMoist,ModerateOrLe,NoMajor,Other,E_W_N,LittleChange,None,AllElse,LVorOther,LV
StrongUp,Down,Down,Down,Down,Wet,VeryWet,VeryWet,VeryWet,PC,Clear,Cloudy,PC,None,None,Westerly,None,None,None,None,LittleChange,LittleChange,Negative,Decreasing,XNIL,Aug20_Sep15,I,CThruK,PartInhibit,Average,Average,ABI,N5GtLIGt_8,Stability,MoreUnstable,MoreUnstable,HI,None,Moderate,Moderate,I,SVR,SVR,SVR,LowSHighN,ModerateOrLe,Dry,CloseToDryAd,NoMajor,DryMMoistL,E_W_S,NegToPos,QStationary,NWQuad,LVorOther,LV
StrongUp,WeakUp,StrongUp,WeakUp,WeakUp,Neutral,VeryWet,Wet,VeryWet,Clear,Clear,Clear,PC,Weak,Weak,StrongWest,Weak,Strong,Strong,Some,LittleChange,LittleChange,WeakPos,Increasing,SVR,May15_Jun14,K,CThruK,None,LessThanAve,LessThanAve,K,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,ACEFK,TotalInhibit,Strong,None,K,XNIL,XNIL,SVR,LowNHighS,Stable,Average,Steep,StrongFront,DryMMoistL,MovingFtorOt,SigNegative,Moving,AllElse,LVorOther,LongAnticyc
Down,WeakUp,Neutral,Neutral,Neutral,VeryWet,VeryWet,Wet,Wet,Clear,PC,PC,PC,Strong,Strong,StrongWest,Strong,Strong,Strong,Some,LittleChange,LittleChange,Neutral,LittleChange,SIG,Aug20_Sep15,A,AB,None,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Neutral,Average,Average,ACEFK,None,Moderate,Strong,A,SIG,SIG,SIG,LowMtsHighPl,Steep,VeryMoist,ModerateOrLe,MarkedUpper,Other,E_W_N,SigNegative,Other,SWQuad,Westerly,SEQuad
WeakUp,StronUp,Down,Neutral,Neutral,Neutral,VeryWet,Wet,Wet,PC,Clear,Clear,Clear,Strong,Strong,StrongWest,Strong,Strong,Strong,Marked,IncCapDecIns,Increasing,Negative,Decreasing,XNIL,May15_Jun14,G,CThruK,TotalInhibit,MoreThanAve,MoreThanAve,G,N5GtLIGt_8,Neutral,Average,LessUnstable,GJ,PartInhibit,Weak,None,G,XNIL,XNIL,XNIL,LowMtsHighPl,Steep,Dry,CloseToDryAd,OtherRapid,MoistMDryL,Other,LittleChange,None,AllElse,LVorOther,LongAnticyc
StrongUp,Neutral,StrongUp,Neutral,Neutral,Neutral,Dry,Dry,Dry,Cloudy,Clear,Clear,Clear,Weak,Strong,DCVZFavor,Strong,Strong,Strong,Marked,LittleChange,LittleChange,Neutral,LittleChange,SVR,Jul2_Jul15,I,CThruK,PartInhibit,Average,Average,ABI,N1GtLIGt_4,Neutral,LessUnstable,LessUnstable,HI,TotalInhibit,Weak,None,I,XNIL,XNIL,SVR,LowMtsHighPl,ModerateOrLe,VeryMoist,Steep,StrongFront,Other,MovingFtorOt,PosToNeg,QStationary,NWQuad,Westerly,E_NE
Neutral,Down,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,PC,Clear,Cloudy,Cloudy,Weak,Weak,DCVZFavor,Weak,Weak,Weak,Some,IncCapDecIns,Increasing,WeakPos,Increasing,SIG,Aug20_Sep15,G,CThruK,PartInhibit,LessThanAve,Average,G,N5GtLIGt_8,Neutral,MoreUnstable,MoreUnstable,GJ,PartInhibit,Weak,None,G,XNIL,XNIL,SIG,LowAtStation,CloseToDryAd,Dry,CloseToDryAd,NoMajor,MoistMDryL,DryLine,PosToNeg,None,AllElse,Westerly,WidespdDnsl
Down,WeakUp,Neutral,Down,Down,Neutral,VeryWet,VeryWet,VeryWet,Cloudy,Clear,Clear,Clear,Strong,Strong,StrongWest,Strong,Weak,Weak,Some,LittleChange,LittleChange,Neutral,LittleChange,XNIL,Aug11_Aug20,C,CThruK,PartInhibit,MoreThanAve,MoreThanAve,CDEJ,N1GtLIGt_4,Stability,Average,Average,ACEFK,PartInhibit,Weak,Moderate,C,SIG,SIG,SIG,LowEvrywhere,Steep,Dry,ModerateOrLe,OtherRapid,Other,E_W_S,NegToPos,QStationary,SWQuad,Westerly,LongAnticyc
StrongUp,Down,WeakUp,Neutral,Neutral,Dry,VeryWet,VeryWet,VeryWet,PC,Clear,PC,PC,None,None,StrongWest,None,Weak,None,None,IncCapDecIns,Increasing,StrongPos,Increasing,XNIL,May15_Jun14,D,CThruK,PartInhibit,LessThanAve,LessThanAve,CDEJ,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,D,None,Weak,Slight,D,SVR,SVR,SVR,LowAtStation,CloseToDryAd,Average,Steep,OtherRapid,MoistMDryL,DryLine,PosToNeg,QStationary,AllElse,LVorOther,DenvCyclone
WeakUp,WeakUp,WeakUp,WeakUp,WeakUp,Neutral,Neutral,Neutral,Neutral,Clear,Cloudy,PC,PC,Strong,Strong,DCVZFavor,None,Weak,Strong,Some,DecCapIncIns,Decreasing,StrongPos,LittleChange,SVR,Jul16_Aug10,B,AB,PartInhibit,Average,LessThanAve,ABI,N1GtLIGt_4,Instability,LessUnstable,LessUnstable,B,PartInhibit,Weak,None,B,SIG,SIG,SVR,LowMtsHighPl,Steep,Average,Steep,NoMajor,MoistMDryL,DenvCyclone,LittleChange,None,LV,LVorOther,SEQuad
Neutral,WeakUp,WeakUp,Neutral,Neutral,Dry,Wet,Dry,Dry,Clear,PC,PC,PC,Strong,Strong,Westerly,Weak,None,None,Marked,IncCapDecIns,Increasing,Negative,Decreasing,SIG,Aug20_Sep15,K,CThruK,PartInhibit,Average,MoreThanAve,K,N5GtLIGt_8,Stability,LessUnstable,LessUnstable,ACEFK,PartInhibit,Moderate,Slight,K,XNIL,XNIL,SIG,LowEvrywhere,Steep,VeryMoist,ModerateOrLe,MarkedUpper,DryMMoistL,DenvCyclone,SigNegative,Moving,AllElse,Westerly,E_NE
Neutral,Neutral,Neutral,Neutral,Neutral,Wet,Dry,Wet,Wet,PC,PC,PC,PC,None,None,Westerly,None,Weak,Strong,None,DecCapIncIns,Decreasing,WeakPos,LittleChange,XNIL,Aug11_Aug20,B,AB,PartInhibit,Average,LessThanAve,ABI,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,B,PartInhibit,Weak,Moderate,B,SIG,SIG,SIG,LowMtsHighPl,Stable,VeryMoist,Steep,NoMajor,Other,MovingFtorOt,LittleChange,QStationary,SWQuad,Westerly,DenvCyclone
